CountOfRecords,MAIN_CONDITION,MAIN_OPERATION,MAIN_OPERATION_B,OTHER_OPERATION_1,OTHER_OPERATION_1B,OTHER_OPERATION_2,OTHER_OPERATION_2B,OTHER_OPERATION_3,OTHER_OPERATION_3B
8,-0020,,,,,,,,
6,-0021,,,,,,,,
328,-0030,,,,,,,,
19,-0031,,,,,,,,
123,-0039,,,,,,,,
10,-0041,,,,,,,,
91,-0043,,,,,,,,
31,-0049,,,,,,,,
10,-0050,,,,,,,,
120,-0059,,,,,,,,
75,-0071,,,,,,,,
17,-0072,,,,,,,,
23,-0080,,,,,,,,
292,-0084,,,,,,,,
21,-00840,,,,,,,,
113,-00849,,,,,,,,
16,-0085,,,,,,,,
279,-0086,,,,,,,,
1609,-0088,,,,,,,,
114,-0090,,,,,,,,
3084,-0091,,,,,,,,
24,-0091,4689,,,,,,,
7,-0091,G459,,,,,,,
12,-0091,H229,,,,,,,
15,-0091,H289,,,,,,,
6,-0091,4681,,,,,,,
52,-0092,,,,,,,,
1006,-0093,,,,,,,,
14,-0093,4681,,,,,,,
14,-0093,H229,,,,,,,
6,-0093,4319,,4689,,,,,
11,-0093,4319,,,,,,,
98,-0093,4689,,,,,,,
14,-0093,H289,,,,,,,
6,-0112,,,,,,,,
81,-0119,,,,,,,,
32,-01192,,,,,,,,
17,-01199,E491,,,,,,,
274,-01199,,,,,,,,
19,-01199,3409,,,,,,,
12,-01209,,,,,,,,
8,-01499,,,,,,,,
10,-0172,,,,,,,,
15,-01729,,,,,,,,
6,-0239,,,,,,,,
10,-0310,,,,,,,,
306,-0339,,,,,,,,
175,-0340,,,,,,,,
47,-0341,,,,,,,,
123,-0359,,,,,,,,
58,-0362,,,,,,,,
38,-0380,,,,,,,,
58,-0381,,,,,,,,
40,-0382,,,,,,,,
92,-0384,,,,,,,,
26,-0388,,,,,,,,
742,-0389,,,,,,,,
8,-0400,,,,,,,,
19,-0410,,,,,,,,
25,-0411,,,,,,,,
24,-0415,,,,,,,,
6,-0417,,,,,,,,
18,-0418,,,,,,,,
41,-0418,G451,,,,,,,
18,-0419,,,,,,,,
6,-0512,,,,,,,,
309,-0529,,,,,,,,
10,-0531,,,,,,,,
482,-0539,,,,,,,,
46,-0540,,,,,,,,
37,-0541,,,,,,,,
185,-0542,,,,,,,,
104,-0549,,,,,,,,
213,-0559,,,,,,,,
24,-0569,,,,,,,,
46,-0578,,,,,,,,
9,-0579,,,,,,,,
65,-0729,,,,,,,,
17,-0739,,,,,,,,
33,-0741,,,,,,,,
9,-0743,,,,,,,,
360,-0759,,,,,,,,
7,-0780,9139,,,,,,,
9,-0781,9649,,9159,,,,,
168,-0781,7359,,,,,,,
10,-0781,P062,,,,,,,
6,-0781,P203,,,,,,,
39,-0781,9139,,,,,,,
11,-0781,6639,,,,,,,
6,-0781,4809,,,,,,,
9,-0781,S068,,,,,,,
7,-0781,9399,,,,,,,
9,-0781,H492,,,,,,,
15,-0781,9129,,,,,,,
7,-0781,P054,,,,,,,
206,-0781,9159,,,,,,,
151,-0781,P063,,,,,,,
6,-0781,M459,,,,,,,
24,-0781,4992,,,,,,,
7,-0781,7359,,9649,,,,,
34,-0781,9149,,,,,,,
10,-0781,9159,,9649,,,,,
59,-0781,H483,,,,,,,
8,-0781,Q023,,,,,,,
12,-0781,4841,,,,,,,
43,-0781,H491,,,,,,,
67,-0781,,,,,,,,
6,-0781,7249,,,,,,,
90,-0788,,,,,,,,
7,-0790,,,,,,,,
27,-0792,,,,,,,,
16,-0799,A559,,,,,,,
2506,-0799,,,,,,,,
45,-0840,,,,,,,,
39,-0841,,,,,,,,
49,-0846,,,,,,,,
9,-0913,9149,,,,,,,
6,-0940,,,,,,,,
6,-0949,,,,,,,,
8,-0979,,,,,,,,
8,-0980,,,,,,,,
41,-0993,,,,,,,,
7,-0999,,,,,,,,
7,-0999,0289,,,,,,,
9,-1048,,,,,,,,
8,-1100,,,,,,,,
10,-1104,,,,,,,,
6,-1109,,,,,,,,
10,-1119,,,,,,,,
115,-1120,,,,,,,,
6,-1122,,,,,,,,
24,-1128,,,,,,,,
32,-1129,,,,,,,,
19,-1173,,,,,,,,
22,-1178,,,,,,,,
6,-1209,,,,,,,,
12,-1274,,,,,,,,
6,-1309,,,,,,,,
61,-1330,,,,,,,,
8,-1359,S152,,,,,,,
25,-1359,3409,,,,,,,
213,-1359,,,,,,,,
26,-1359,E491,,,,,,,
7,-1359,9209,,,,,,,
18,-1361,,,,,,,,
11,-1370,,,,,,,,
7,-1401,2661,,,,,,,
21,-1409,F021,,,,,,,
8,-1409,,,,,,,,
8,-1410,,,,,,,,
6,-1416,,,,,,,,
9,-1419,F241,,,,,,,
11,-1419,X558,Y902,,,,,,
17,-1419,F231,,,,,,,
13,-1419,9999,,,,,,,
9,-1419,9611,,,,,,,
6,-1419,9939,,,,,,,
10,-1419,2624,,,,,,,
64,-1419,,,,,,,,
6,-1420,9939,,,,,,,
27,-1420,,,,,,,,
10,-1420,X558,Y902,,,,,,
7,-1430,9611,,,,,,,
6,-1439,9999,,,,,,,
12,-1449,X558,Y902,,,,,,
41,-1449,,,,,,,,
7,-1449,9939,,,,,,,
8,-1449,9999,,,,,,,
8,-1449,F381,,,,,,,
15,-1453,,,,,,,,
12,-1455,,,,,,,,
7,-1455,F281,,,,,,,
8,-1459,X558,Y902,,,,,,
28,-1459,,,,,,,,
9,-1460,9999,,,,,,,
18,-1460,,,,,,,,
14,-1479,X352,,,,,,,
42,-1479,,,,,,,,
9,-1479,X558,Y902,,,,,,
30,-1479,9611,,,,,,,
8,-1480,,,,,,,,
18,-1481,,,,,,,,
14,-1489,,,,,,,,
8,-1490,X558,Y902,,,,,,
30,-1490,,,,,,,,
7,-1503,,,,,,,,
11,-1504,,,,,,,,
10,-1505,G152,,,,,,,
8,-1505,G011,,,,,,,
63,-1505,,,,,,,,
1255,-1509,,,,,,,,
8,-1509,2949,,2969,,,,,
25,-1509,2919,,,,,,,
10,-1509,4311,,,,,,,
61,-1509,G451,,,,,,,
6,-1509,G019,,,,,,,
66,-1509,X558,Y902,,,,,,
34,-1509,4319,,,,,,,
58,-1509,2949,,,,,,,
6,-1509,G183,,G191,,,,,
6,-1509,G184,,,,,,,
17,-1509,G189,,,,,,,
7,-1509,G112,,T309,,,,,
17,-1509,G199,,,,,,,
30,-1509,G153,,,,,,,
11,-1509,G039,,,,,,,
11,-1509,4231,,,,,,,
46,-1509,X352,,,,,,,
55,-1509,2941,,,,,,,
12,-1509,4023,,,,,,,
40,-1509,G459,,,,,,,
32,-1509,G153,,G451,,,,,
27,-1509,2959,,,,,,,
6,-1509,G443,,,,,,,
12,-1509,G011,,,,,,,
54,-1509,9999,,,,,,,
35,-1509,9939,,,,,,,
30,-1509,G161,,,,,,,
6,-1509,G111,,,,,,,
18,-1509,G191,,,,,,,
71,-1509,2969,,,,,,,
20,-1509,2912,,,,,,,
17,-1509,G218,Y902,,,,,,
18,-1509,G183,,,,,,,
10,-1509,2459,,,,,,,
10,-1509,G154,,,,,,,
8,-1509,G183,,G459,,,,,
6,-1509,4319,,2969,,,,,
7,-1510,2912,,,,,,,
88,-1510,,,,,,,,
8,-1510,X352,,,,,,,
6,-1510,G451,,,,,,,
13,-1511,,,,,,,,
27,-1512,,,,,,,,
19,-1513,,,,,,,,
36,-1514,,,,,,,,
10,-1515,,,,,,,,
6,-1519,9611,,,,,,,
56,-1519,4319,,,,,,,
8,-1519,4029,,,,,,,
6,-1519,G153,,G451,,,,,
25,-1519,G289,,,,,,,
11,-1519,2912,,,,,,,
7,-1519,T439,,,,,,,
21,-1519,T309,,,,,,,
12,-1519,4022,,,,,,,
70,-1519,4023,,,,,,,
58,-1519,4229,,,,,,,
20,-1519,4311,,,,,,,
7,-1519,2941,,,,,,,
6,-1519,4269,,,,,,,
18,-1519,4232,,,,,,,
7,-1519,G331,,T309,,,,,
11,-1519,2949,,,,,,,
38,-1519,G459,,,,,,,
8,-1519,G331,,,,,,,
9,-1519,G279,,,,,,,
18,-1519,4263,,,,,,,
6,-1519,G458,,,,,,,
6,-1519,4269,,4023,,,,,
38,-1519,X352,,,,,,,
1260,-1519,,,,,,,,
13,-1519,X339,,,,,,,
58,-1519,G451,,,,,,,
6,-1519,4023,,5091,,,,,
10,-1519,4229,,5409,,,,,
8,-1519,G281,,,,,,,
7,-1519,X558,Y902,,,,,,
74,-1519,4239,,,,,,,
14,-1519,G283,,,,,,,
13,-1520,,,,,,,,
6,-1521,,,,,,,,
7,-1529,X352,,,,,,,
22,-1529,,,,,,,,
7,-1530,X558,Y902,,,,,,
15,-1530,4609,,,,,,,
29,-1530,,,,,,,,
65,-1531,,,,,,,,
7,-1531,H081,,,,,,,
7,-1531,X352,,,,,,,
26,-1531,4609,,,,,,,
10,-1531,4602,,,,,,,
11,-1532,4609,,,,,,,
34,-1532,,,,,,,,
7,-1533,H335,,,,,,,
21,-1533,H103,,,,,,,
10,-1533,4023,,4629,,,,,
11,-1533,4602,,,,,,,
6,-1533,H281,,,,,,,
16,-1533,H102,,,,,,,
6,-1533,X558,Y902,,,,,,
6,-1533,H221,,,,,,,
324,-1533,,,,,,,,
105,-1533,4609,,,,,,,
9,-1533,4729,,,,,,,
9,-1533,H229,,,,,,,
6,-1533,H119,,,,,,,
12,-1533,4689,,,,,,,
9,-1533,4609,,4023,,,,,
14,-1533,4629,,,,,,,
33,-1533,H109,,,,,,,
9,-1533,4609,,4629,,,,,
16,-1533,H334,,,,,,,
36,-1533,X352,,,,,,,
12,-1533,H269,,,,,,,
7,-1533,4601,,,,,,,
14,-1533,4023,,,,,,,
15,-1533,4712,,,,,,,
8,-1533,H331,,,,,,,
113,-1534,4609,,,,,,,
6,-1534,4023,,,,,,,
42,-1534,X352,,,,,,,
8,-1534,H079,,T309,,,,,
22,-1534,H071,,,,,,,
28,-1534,H079,,,,,,,
6,-1534,H119,,,,,,,
36,-1534,H073,,,,,,,
6,-1534,4023,,4609,,,,,
6,-1534,H071,Z942,,,,,,
309,-1534,,,,,,,,
8,-1534,4602,,,,,,,
6,-1534,4609,,4023,,,,,
9,-1534,X558,Y902,,,,,,
7,-1535,,,,,,,,
8,-1535,X352,,,,,,,
11,-1536,H071,,,,,,,
43,-1536,4609,,,,,,,
7,-1536,H073,,,,,,,
8,-1536,H079,,,,,,,
69,-1536,,,,,,,,
10,-1537,4609,,,,,,,
47,-1537,,,,,,,,
7,-1537,H102,,,,,,,
21,-1539,H103,,,,,,,
45,-1539,H079,,,,,,,
28,-1539,4023,,,,,,,
12,-1539,9939,,,,,,,
10,-1539,H154,,,,,,,
13,-1539,T309,,,,,,,
6,-1539,H079,Z942,,,,,,
21,-1539,9999,,,,,,,
7,-1539,4029,,,,,,,
7,-1539,H102,,,,,,,
7,-1539,H069,,,,,,,
13,-1539,4601,,,,,,,
6,-1539,H339,,,,,,,
13,-1539,4631,,,,,,,
17,-1539,9611,,,,,,,
21,-1539,H109,,,,,,,
23,-1539,4602,,,,,,,
6,-1539,H101,,,,,,,
6,-1539,4681,,,,,,,
208,-1539,4609,,,,,,,
11,-1539,4629,,,,,,,
9,-1539,H119,,,,,,,
1020,-1539,,,,,,,,
18,-1539,4689,,,,,,,
8,-1539,H081,,,,,,,
16,-1539,H221,,,,,,,
16,-1539,H331,,,,,,,
10,-1539,H251,,,,,,,
12,-1539,H099,,,,,,,
6,-1539,H061,,,,,,,
9,-1539,H093,,,,,,,
17,-1539,H334,,,,,,,
11,-1539,4023,,4629,,,,,
7,-1539,4022,,,,,,,
20,-1539,4729,,,,,,,
15,-1539,H229,,,,,,,
16,-1539,X558,Y902,,,,,,
154,-1539,X352,,,,,,,
42,-1539,H073,,,,,,,
8,-1539,4609,,4629,,,,,
16,-1539,4609,,4023,,,,,
8,-1539,4023,,4609,,,,,
7,-1540,H339,,,,,,,
37,-1540,4729,,,,,,,
9,-1540,H229,,,,,,,
7,-1540,4023,,,,,,,
22,-1540,H334,,,,,,,
9,-1540,4689,,,,,,,
66,-1540,X352,,,,,,,
7,-1540,X558,Y902,,,,,,
7,-1540,H109,,,,,,,
6,-1540,H335,,,,,,,
285,-1540,,,,,,,,
10,-1540,4609,,,,,,,
20,-1540,H331,,,,,,,
7,-1540,T309,,,,,,,
6,-1540,H333,,,,,,,
7,-1541,4629,,4023,,,,,
15,-1541,4712,,,,,,,
28,-1541,4739,,,,,,,
36,-1541,H281,,,,,,,
9,-1541,H221,,,,,,,
13,-1541,4713,,,,,,,
14,-1541,H289,,,,,,,
7,-1541,X558,Y902,X352,,,,,
78,-1541,9999,,,,,,,
7,-1541,H263,,,,,,,
7,-1541,H151,,,,,,,
6,-1541,9929,,,,,,,
7,-1541,9611,,,,,,,
49,-1541,H339,,,,,,,
15,-1541,4023,,,,,,,
8,-1541,H229,,,,,,,
22,-1541,H251,,,,,,,
21,-1541,H468,Y902,,,,,,
278,-1541,X352,,,,,,,
46,-1541,H334,,,,,,,
11,-1541,4729,,4629,,,,,
11,-1541,4701,,,,,,,
907,-1541,,,,,,,,
32,-1541,4689,,,,,,,
6,-1541,6089,,,,,,,
9,-1541,4609,,,,,,,
15,-1541,4719,,,,,,,
6,-1541,4631,,,,,,,
140,-1541,4729,,,,,,,
47,-1541,9939,,,,,,,
7,-1541,4023,,4629,,,,,
18,-1541,H412,,,,,,,
7,-1541,H263,Z291,,,,,,
102,-1541,X558,Y902,,,,,,
6,-1541,T309,,,,,,,
43,-1541,4681,,,,,,,
107,-1541,H331,,,,,,,
6,-1541,H444,,,,,,,
10,-1541,H335,,,,,,,
23,-1541,4629,,,,,,,
8,-1542,,,,,,,,
8,-1542,X352,,,,,,,
76,-1543,,,,,,,,
11,-1543,9999,,,,,,,
7,-1543,X558,Y902,X352,,,,,
6,-1543,X352,,,,,,,
18,-1543,X558,Y902,,,,,,
11,-1548,,,,,,,,
78,-1550,,,,,,,,
12,-1550,X352,,,,,,,
59,-1551,,,,,,,,
7,-1552,4023,,,,,,,
163,-1552,,,,,,,,
47,-1560,,,,,,,,
47,-1561,,,,,,,,
9,-1562,9611,,,,,,,
27,-1562,,,,,,,,
17,-1569,,,,,,,,
213,-1570,,,,,,,,
6,-1570,4023,,,,,,,
6,-1570,5249,,,,,,,
10,-1570,5239,,,,,,,
6,-1570,G331,,,,,,,
7,-1571,4023,,,,,,,
25,-1571,,,,,,,,
6,-1579,4022,,,,,,,
6,-1579,4263,,,,,,,
8,-1579,T461,,,,,,,
6,-1579,4319,,,,,,,
33,-1579,4023,,,,,,,
7,-1579,5339,,,,,,,
8,-1579,5239,,,,,,,
461,-1579,,,,,,,,
13,-1579,9611,,,,,,,
7,-1579,T309,,,,,,,
6,-1580,X352,,,,,,,
25,-1580,,,,,,,,
9,-1588,,,,,,,,
6,-1589,9611,,,,,,,
7,-1589,4023,,,,,,,
15,-1589,,,,,,,,
7,-1590,X558,Y902,,,,,,
12,-1590,4609,,,,,,,
115,-1590,,,,,,,,
14,-1590,X352,,,,,,,
11,-1599,,,,,,,,
11,-1600,,,,,,,,
17,-1602,,,,,,,,
14,-1610,,,,,,,,
17,-1610,2449,,,,,,,
8,-1610,2449,,2461,,,,,
14,-1610,E361,,,,,,,
33,-1611,,,,,,,,
44,-1619,9999,,,,,,,
9,-1619,2413,,,,,,,
7,-1619,2419,,,,,,,
15,-1619,E388,Y902,,,,,,
16,-1619,E369,,,,,,,
43,-1619,E361,,,,,,,
7,-1619,E369,,E519,,,,,
37,-1619,9939,,,,,,,
14,-1619,2449,,2461,,,,,
8,-1619,E423,,E361,,,,,
41,-1619,2449,,,,,,,
28,-1619,X558,Y902,,,,,,
11,-1619,9611,,,,,,,
238,-1619,,,,,,,,
20,-1620,,,,,,,,
41,-1622,,,,,,,,
14,-1623,3442,,,,,,,
8,-1623,E491,,,,,,,
27,-1623,E545,,,,,,,
6,-1623,E543,Z943,,,,,,
8,-1623,3409,,,,,,,
13,-1623,3459,,,,,,,
79,-1623,,,,,,,,
8,-1623,E549,,,,,,,
29,-1623,3441,,,,,,,
26,-1623,E511,,E631,,,,,
6,-1623,E631,,E511,,,,,
6,-1623,E541,Z943,,,,,,
6,-1625,E549,,,,,,,
37,-1625,,,,,,,,
8,-1625,E511,,E631,,,,,
18,-1625,E545,,,,,,,
22,-1625,3441,,,,,,,
1167,-1629,3409,,,,,,,
12,-1629,9059,,,,,,,
32,-1629,9929,,,,,,,
36,-1629,E591,,,,,,,
64,-1629,E528,Y902,,,,,,
6,-1629,E543,Z942,,,,,,
16,-1629,E519,,,,,,,
8,-1629,X558,Y902,X339,,,,,
17,-1629,T123,,,,,,,
23,-1629,9611,,,,,,,
12,-1629,E592,,,,,,,
183,-1629,E511,,,,,,,
315,-1629,9999,,,,,,,
7,-1629,E529,Y902,,,,,,
21,-1629,X348,,,,,,,
9,-1629,T122,,E491,,,,,
6,-1629,E631,,E511,,,,,
894,-1629,E491,,,,,,,
19,-1629,3442,,,,,,,
7,-1629,E491,,E491,,,,,
87,-1629,3419,,,,,,,
7,-1629,V548,Y902,,,,,,
28,-1629,E491,,X352,,,,,
8,-1629,4319,,,,,,,
7,-1629,E541,Z942,,,,,,
15,-1629,E549,,,,,,,
357,-1629,X558,Y902,,,,,,
8,-1629,3351,,3419,,,,,
6,-1629,X339,,,,,,,
51,-1629,3441,,,,,,,
14,-1629,T122,,,,,,,
38,-1629,3309,,,,,,,
9,-1629,E511,,E631,,,,,
15,-1629,X552,Y902,,,,,,
72,-1629,E598,Y902,,,,,,
9,-1629,9919,,,,,,,
16,-1629,E599,Y902,,,,,,
9,-1629,3491,,,,,,,
494,-1629,X352,,,,,,,
13,-1629,E545,,,,,,,
221,-1629,9939,,,,,,,
25,-1629,E499,,,,,,,
7607,-1629,,,,,,,,
21,-1629,3452,,,,,,,
68,-1629,3459,,,,,,,
6,-1629,E381,Z943,,,,,,
121,-1639,,,,,,,,
7,-1639,X352,,,,,,,
11,-1639,3409,,,,,,,
8,-1639,T122,,,,,,,
14,-1640,X352,,,,,,,
9,-1640,,,,,,,,
6,-1641,X352,,,,,,,
11,-1643,,,,,,,,
6,-1649,X352,,,,,,,
21,-1649,,,,,,,,
7,-1700,,,,,,,,
7,-1701,,,,,,,,
40,-1702,,,,,,,,
6,-1702,9999,,,,,,,
35,-1703,,,,,,,,
7,-1704,7981,,,,,,,
15,-1704,,,,,,,,
22,-1706,,,,,,,,
14,-1707,9611,,,,,,,
51,-1707,,,,,,,,
7,-1707,X558,Y902,,,,,,
8,-1709,9999,,,,,,,
55,-1709,,,,,,,,
13,-1709,9611,,,,,,,
59,-1709,X352,,,,,,,
12,-1710,,,,,,,,
8,-1713,X558,Y902,,,,,,
15,-1713,X352,,,,,,,
23,-1713,,,,,,,,
11,-1714,,,,,,,,
27,-1715,,,,,,,,
25,-1716,,,,,,,,
19,-1716,X352,,,,,,,
9,-1717,X352,,,,,,,
8,-1717,,,,,,,,
104,-1719,,,,,,,,
36,-1719,X352,,,,,,,
7,-1719,X558,Y902,,,,,,
15,-1723,,,,,,,,
12,-1723,S068,Z473,,,,,,
10,-1723,9139,,,,,,,
27,-1725,,,,,,,,
16,-1725,9131,,,,,,,
25,-1725,S068,Z494,,,,,,
14,-1725,9139,,,,,,,
16,-1725,S068,Z493,,,,,,
24,-1726,S068,Z501,,,,,,
6,-1726,9139,,,,,,,
14,-1726,9131,,,,,,,
6,-1727,S068,Z504,S379,Z504,,,,
12,-1727,S068,Z504,S358,Z504,,,,
23,-1727,,,,,,,,
12,-1727,S068,Z505,,,,,,
7,-1727,X352,,,,,,,
6,-1727,L973,,,,,,,
28,-1727,9131,,9359,,,,,
15,-1727,9139,,,,,,,
43,-1727,S068,Z504,,,,,,
14,-1727,9131,,,,,,,
9,-1729,X558,Y902,,,,,,
7,-1729,9131,,,,,,,
99,-1729,,,,,,,,
9,-1729,X352,,,,,,,
8,-1730,,,,,,,,
20,-1730,2661,,,,,,,
16,-1730,9139,,,,,,,
28,-1730,9131,,,,,,,
43,-1730,F021,,,,,,,
8,-1730,F021,Z943,,,,,,
83,-1731,9131,,,,,,,
26,-1731,C111,Z943,,,,,,
6,-1731,9131,,9309,,,,,
6,-1731,C141,Z942,C121,Z942,,,,
7,-1731,9919,,,,,,,
35,-1731,C111,Z942,,,,,,
41,-1731,C121,Z943,,,,,,
10,-1731,9149,,,,,,,
44,-1731,9139,,,,,,,
17,-1731,,,,,,,,
41,-1731,C121,Z942,,,,,,
40,-1731,1229,,,,,,,
13,-1732,X558,Y902,,,,,,
7,-1732,D021,,,,,,,
69,-1732,D021,Z942,,,,,,
28,-1732,,,,,,,,
7,-1732,S065,Z201,,,,,,
7,-1732,S068,Z201,,,,,,
10,-1732,1919,,,,,,,
50,-1732,9139,,,,,,,
61,-1732,9131,,,,,,,
6,-1732,D021,Z943,S379,Z201,,,,
6,-1732,D021,Z942,S279,Z201,,,,
73,-1732,D021,Z943,,,,,,
25,-1733,S068,Z479,,,,,,
19,-1733,S065,,,,,,,
183,-1733,S068,Z473,,,,,,
6,-1733,9611,,,,,,,
10,-1733,9131,,9149,,,,,
13,-1733,S065,Z221,,,,,,
13,-1733,S068,Z221,,,,,,
6,-1733,S068,Z473,S379,Z473,,,,
11,-1733,E091,Z942,,,,,,
11,-1733,S068,Z471,S279,Z471,,,,
16,-1733,E091,,S362,Z221,,,,
38,-1733,9149,,,,,,,
11,-1733,S068,Z471,S362,Z471,,,,
37,-1733,9919,,,,,,,
11,-1733,9141,,,,,,,
38,-1733,9999,,,,,,,
9,-1733,C101,Z943,,,,,,
10,-1733,E091,,S278,Z221,,,,
89,-1733,S068,Z472,,,,,,
12,-1733,C101,Z942,,,,,,
9,-1733,9939,,,,,,,
13,-1733,E091,Z943,,,,,,
12,-1733,9131,,9129,,,,,
8,-1733,S068,Z472,S278,Z472,,,,
69,-1733,E091,,S279,Z221,,,,
23,-1733,9131,,9309,,,,,
34,-1733,S068,Z474,,,,,,
16,-1733,S068,Z475,,,,,,
6,-1733,S068,Z221,S279,Z221,,,,
333,-1733,9139,,,,,,,
12,-1733,9129,,,,,,,
209,-1733,E091,,,,,,,
93,-1733,S068,Z471,,,,,,
6,-1733,S068,Z471,S379,Z471,,,,
6,-1733,S068,Z471,S068,Z472,,,,
82,-1733,,,,,,,,
301,-1733,9131,,,,,,,
31,-1733,S068,Z472,S279,Z472,,,,
8,-1733,9131,,9301,,,,,
12,-1733,9139,,9309,,,,,
30,-1733,S065,Z472,,,,,,
10,-1733,2112,,,,,,,
52,-1733,S065,Z473,,,,,,
18,-1733,S068,Z473,S279,Z473,,,,
33,-1733,9131,,9359,,,,,
33,-1733,S065,Z471,,,,,,
26,-1733,9139,,9359,,,,,
8,-1733,S068,Z473,E091,,,,,
7,-1733,S065,Z475,,,,,,
24,-1733,X558,Y902,,,,,,
6,-1733,S068,Z472,S379,Z472,,,,
10,-1733,S068,,,,,,,
13,-1733,E091,,S275,Z221,,,,
9,-1733,S068,Z472,S362,Z472,,,,
10,-1733,S065,Z479,,,,,,
9,-1734,9149,,,,,,,
11,-1734,9131,,9359,,,,,
48,-1734,9131,,,,,,,
15,-1734,,,,,,,,
9,-1734,9999,,,,,,,
6,-1734,S065,,,,,,,
37,-1734,9139,,,,,,,
11,-1734,S068,Z482,,,,,,
41,-1734,S065,Z481,,,,,,
52,-1734,S065,Z482,,,,,,
6,-1734,S065,Z481,S361,Z481,,,,
6,-1734,S065,Z481,S358,Z481,,,,
12,-1734,S068,Z481,,,,,,
19,-1735,,,,,,,,
16,-1735,9149,,,,,,,
33,-1735,9139,,,,,,,
7,-1735,S068,Z498,,,,,,
43,-1735,9131,,,,,,,
61,-1735,S068,Z494,,,,,,
8,-1735,9999,,,,,,,
19,-1735,S068,Z493,,,,,,
7,-1736,,,,,,,,
9,-1736,9149,,,,,,,
12,-1736,S068,Z502,S358,Z502,,,,
18,-1736,S068,Z501,,,,,,
33,-1736,9131,,,,,,,
23,-1736,S068,Z502,,,,,,
26,-1736,9139,,,,,,,
12,-1737,S068,Z504,S379,Z504,,,,
14,-1737,9139,,9359,,,,,
10,-1737,9149,,,,,,,
39,-1737,9131,,,,,,,
28,-1737,,,,,,,,
28,-1737,S068,Z504,S358,Z504,,,,
73,-1737,S068,Z504,,,,,,
23,-1737,9131,,9359,,,,,
40,-1737,9139,,,,,,,
17,-1739,,,,,,,,
14,-1740,B274,T852,,,,,,
14,-1740,,,,,,,,
7,-1742,X352,,,,,,,
9,-1742,B274,T852,,,,,,
8,-1743,B283,T852,,,,,,
8,-1744,B283,Z942,,,,,,
18,-1744,X352,,,,,,,
13,-1744,B283,T852,,,,,,
15,-1744,B274,T852,,,,,,
9,-1744,B283,Z943,,,,,,
129,-1749,B283,Z943,,,,,,
62,-1749,3819,,,,,,,
52,-1749,B274,Z942,,,,,,
16,-1749,B274,T873,,,,,,
122,-1749,B279,T852,,,,,,
8,-1749,9041,,,,,,,
87,-1749,3821,,,,,,,
30,-1749,B379,Y902,,,,,,
9,-1749,9919,,,,,,,
2511,-1749,,,,,,,,
6,-1749,B329,,,,,,,
45,-1749,B322,Z942,,,,,,
16,-1749,Q223,,,,,,,
9,-1749,3821,,9041,,,,,
7,-1749,3811,,9039,,,,,
9,-1749,9209,,,,,,,
71,-1749,9149,,,,,,,
18,-1749,X552,Y902,,,,,,
18,-1749,E491,,,,,,,
18,-1749,B274,T862,,,,,,
17,-1749,9979,,,,,,,
11,-1749,3409,,,,,,,
6,-1749,X558,Y902,X339,,,,,
15,-1749,B282,Z942,,,,,,
89,-1749,B283,,,,,,,
24,-1749,9039,,,,,,,
38,-1749,B322,,,,,,,
120,-1749,B283,Z942,,,,,,
21,-1749,B279,,,,,,,
8,-1749,X384,,,,,,,
17,-1749,B282,,,,,,,
487,-1749,9999,,,,,,,
212,-1749,3811,,,,,,,
12,-1749,T123,,,,,,,
9,-1749,X352,,X362,,,,,
729,-1749,9611,,,,,,,
13,-1749,X339,,,,,,,
51,-1749,B322,Z943,,,,,,
139,-1749,3829,,9041,,,,,
7,-1749,T013,,,,,,,
11,-1749,X352,,X339,,,,,
24,-1749,T873,,,,,,,
9,-1749,3821,,9059,,,,,
6,-1749,B301,Z942,,,,,,
15,-1749,3302,,,,,,,
9,-1749,9439,,,,,,,
20,-1749,B282,Z943,,,,,,
9,-1749,3819,,9041,,,,,
274,-1749,9939,,,,,,,
14,-1749,B279,Z943,,,,,,
130,-1749,3879,,,,,,,
6,-1749,L911,,,,,,,
24,-1749,L913,,,,,,,
8,-1749,B279,T852,B322,Z942,,,,
9,-1749,V548,Y902,,,,,,
11,-1749,T852,,,,,,,
43,-1749,3811,,3879,,,,,
41,-1749,3811,,9041,,,,,
23,-1749,B283,T862,,,,,,
12,-1749,6719,,,,,,,
33,-1749,3829,,3879,,,,,
405,-1749,3829,,,,,,,
102,-1749,X352,,L913,,,,,
11,-1749,9939,,9929,,,,,
125,-1749,B378,Y902,,,,,,
7,-1749,B283,,B322,,,,,
13,-1749,T852,Z943,,,,,,
150,-1749,3839,,,,,,,
2037,-1749,X352,,,,,,,
361,-1749,X558,Y902,,,,,,
8,-1749,9139,,,,,,,
48,-1749,9929,,,,,,,
7,-1749,B281,T852,,,,,,
11,-1749,B279,Z942,,,,,,
7,-1749,T873,Z943,,,,,,
6,-1749,S482,,,,,,,
13,-1749,B283,T873,,,,,,
46,-1749,B274,,,,,,,
37,-1749,9059,,,,,,,
15,-1749,B282,T852,,,,,,
202,-1749,B283,T852,,,,,,
9,-1749,B274,T852,B283,Z943,,,,
41,-1749,B274,Z943,,,,,,
6,-1749,4023,,,,,,,
10,-1749,X558,Y902,X352,,,,,
9,-1749,T852,Z942,,,,,,
7,-1749,9999,,9611,,,,,
12,-1749,S068,,,,,,,
194,-1749,B274,T852,,,,,,
